ï»¿web-scraper-order,web-scraper-start-url,reviewText,location,date,reviewTitle,rating,reviewsWritten,numberThanks,username,reviewedWhen
1557164589-1569,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or520-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,"we went down to this harbour after we'd been to the causeway and couldn't get into the nook. well what a gem we found, not only do you see an amazing harbour with beautiful surroundings, you also get to eat the most delicious cakes! never...more","London, United Kingdom",2015-05-01T00:00:00Z,added extra!!,5,41,3,Paula B,"Reviewed May 29, 2015"
1557164648-1774,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or320-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,gorgeous spot to look out over the beautiful coastline and very picturesque as is this whole stunning coastline.,Northern Ireland,2016-08-01T00:00:00Z,beautiful spot,4,56,51,Glitter-Queen,"Reviewed August 24, 2016"
1557164638-1739,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or350-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,the road on the way down to the harbour is twisty but worth the effort as the view is lovely and a really nice spot to walk around.the cafe is also nice.this is defiantly worth a trip!,"Greater Manchester, United Kingdom",2016-08-01T00:00:00Z,good place,4,43,17,Hanntay,"Reviewed August 5, 2016"
1557164688-1908,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or180-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,this place never gets old been here alot of times before the scenery is just amazing for the game of thrones fans some of it was filmed here...breath taking views if the coastline,"Coleraine, United Kingdom",2017-08-01T00:00:00Z,brilliant,5,36,8,Tracey R,"Reviewed August 29, 2017"
1557164609-1644,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or450-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,this is one of my favourite places. the drive down is a bit hairy but the little harbour is well worth it. i epically love it on a windy day just to see the waves crashing through the rocks. a little hidden gem right on...more,"Newtownabbey, United Kingdom",2015-09-01T00:00:00Z,beautiful spot,5,326,218,smoothoperator54,"Reviewed October 9, 2015"
1557164638-1745,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or350-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,"awww this little place is great to stop at when adventuring around the coast,really busy most of the time.having young children they find it exciting exploring the caves and also the walking to the little bay at the end.this would be my fav place to...more","Belfast, United Kingdom",2016-07-01T00:00:00Z,great,5,37,15,mccarthy-2k7,"Reviewed July 25, 2016"
1557164685-1903,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or190-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,"visited for a quick 30mins and stayed for over two hours! fascinating scenery, exploring the rocks, watching 'game of thrones' tours and chatting with people from all over! a cuppa if you want it in the coffee shop or bring your own. fantastic day and...more","Lisburn, United Kingdom",2017-08-01T00:00:00Z,ballintoy harbour experience,5,23,18,amandalenfestey,"Reviewed August 13, 2017"
1557164663-1826,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or270-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,"another of the places on the "" game of thrones "" tour but even for non - viewers like ourselves it's well worth visiting. 
it's a very picturesque little harbour with beautiful views out to sea. 
reminiscent of the giant's causeway in places with similar...more","Dundonald, Belfast.",2017-01-01T00:00:00Z,very pretty!,5,603,212,2020vision,"Reviewed January 29, 2017"
1557164592-1586,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or510-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,an out of the way little harbour to wander round and enjoy the sights and sounds of the sea.  a simple pleasure greatly enjoyed.,"Salisbury, United Kingdom",2015-06-01T00:00:00Z,peaceful,4,76,33,apw799,"Reviewed June 7, 2015"
1557164575-1519,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or570-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,"we visited here after the rope bridge. free parking, ancient caves and an old house on the bay serving home made food. we sat outside in the sunshine and enjoyed lovely coffee and scones. great table service. we walked along the beach and checked out...more",Surrey,,visited on a sunny afternoon,5,332,206,JC-the-organiser,"Reviewed August 11, 2014"
