ï»¿web-scraper-order,web-scraper-start-url,reviewText,location,date,reviewTitle,rating,reviewsWritten,numberThanks,username,reviewedWhen
1557165816-2157,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or200-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,"it started pouring down rain when we were here and it did nothing to take away from the beauty.  it is also a place that game of thrones fans will recognize.  great place for more photos, and one more example of ireland's beauty.","Honolulu, Hawaii",2015-09-01T00:00:00Z,peaceful beauty,5,75,31,OldVagabond,"Reviewed October 28, 2015"
1557165825-2181,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or170-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,...incredible atmosphere of by gone time. narrow winding access road. in early june we did not have any crowds. just 5 cars there and a small coach leaving as we came down the narrow road. the game of thrones connections adds to the interest.more,sydney,2015-06-01T00:00:00Z,such a beautiful hideaway piece of irish history,5,352,209,citfancier,"Reviewed December 9, 2015"
1557165834-2214,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or140-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,"saw this with a game of thrones tour.  but i would go here just to see regardless!

it is beautiful!  i would spend all day climbing across the rocks if i could have. and there was a singer outside a cafe whose lovely voice carried...more","Bury St Edmunds, England, United Kingdom",2016-05-01T00:00:00Z,breathtaking!,5,61,23,monicad509,"Reviewed May 29, 2016"
1557165850-2266,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or90-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,...toilets are available and it was so relaxing to take in all of the scenery.  a must see for all.  ann episode of game of thrones was filmed at this location.more,"Belfast, United Kingdom",2017-02-01T00:00:00Z,hidden gem,5,12,2,SparkyBen10,"Reviewed February 23, 2017"
1557165870-2322,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or30-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,"you travel down a very small road into the harbour which is cool by itself, we only did a brief stop as the we were looking  at all the game of thrones sites. would be a good lunch spot","Wells, United Kingdom",2018-05-01T00:00:00Z,lovely little harbour,4,177,67,Southwestpt,"Reviewed May 15, 2018"
1557165834-2215,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or140-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,...the weather is reflected by that great series â€œthe game of thronesâ€�. it is now a place to be visited by many nationalities not just because of the series but of the rugged coast line and its beauty. only an island which is so small...more,null,2016-05-01T00:00:00Z,at the least it is quaint.,4,300,179,desi d,"Reviewed May 25, 2016"
1557165860-2293,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or60-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,we have visited ballintoy harbour many times and it is beautiful.  make sure you have time for the cafe - the cakes/puddings which are exceptional.  we watched game of thrones reenactments which was highly entertaining.  stunning location.,"Wellington, United Kingdom",2017-08-01T00:00:00Z,fun! fun! fun!,5,20,5,irishdee2015,"Reviewed August 18, 2017"
1557165813-2143,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or210-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,"...the views were fantastic.  waves crashing over the rocks. 

the small cafe/restaurant had a really good menu, although we didn't get to try the food since we had eaten at the causeway

also a game of thrones location so an added bonusmore",Newport,,amazing views,5,119,55,RSH_Wales,"Reviewed April 6, 2015"
1557165860-2296,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or60-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,"...there was a game of thrones tour at the beach, which looks to becoming more popular - so if you are a big fan it's worth a visit here! 

the cafe i also highly recommend.more","Salford, United Kingdom",2017-08-01T00:00:00Z,great outdoors,5,40,9,chloemayg,"Reviewed August 17, 2017"
1557165870-2320,https://www.tripadvisor.com/Attraction_Review-g551728-d3530433-Reviews-or30-Ballintoy_Harbour-Ballintoy_County_Antrim_Northern_Ireland.html,"great wee place to take photographs, the scenery is fantastic, also game of thrones was filmed here, so there are some spectacular views.",Larne,2018-06-01T00:00:00Z,photo opportunities,5,215,111,IvorLarne,"Reviewed June 13, 2018"
