ï»¿web-scraper-order,web-scraper-start-url,reviewText,location,date,reviewTitle,rating,reviewsWritten,numberThanks,username,reviewedWhen
1557176752-14842,https://www.tripadvisor.com/Attraction_Review-g1393505-d2255519-Reviews-or510-The_Dark_Hedges-Ballymoney_County_Antrim_Northern_Ireland.html,arrived at about 7 pm and the light hitting the trees was amazing - took some great photos - everyone wants to get there own photo either with their own family or an empty photo with just the trees - you need to park back...more,"Cork, Ireland",2017-05-01T00:00:00Z,highlight of our trip up north,5,166,65,Jean D,"Reviewed May 20, 2017"
1557176853-15249,https://www.tripadvisor.com/Attraction_Review-g1393505-d2255519-Reviews-or110-The_Dark_Hedges-Ballymoney_County_Antrim_Northern_Ireland.html,"this is number 2 attraction in ballymoney?
what is 3? the painted wall, drying in the sun?
this is a road. it does up a hill and down again. there are old trees at the side.
it appears in a tv series.yea..and????
try finding out...more","Eyemouth, United Kingdom",2018-09-01T00:00:00Z,you are kidding me!,2,135,77,JAKEdinburgh,"Reviewed September 24, 2018"
1557176566-14125,https://www.tripadvisor.com/Attraction_Review-g1393505-d2255519-Reviews-or1230-The_Dark_Hedges-Ballymoney_County_Antrim_Northern_Ireland.html,"an enjoyble diversion from the causeway coastal route - moody and magnificent, especially when there are shadows cast on the road. definitely get the cameras at the ready.","Southampton, United Kingdom",2013-08-01T00:00:00Z,a must-see off the causeway coastal route,4,47,32,ExburyOx,"Reviewed August 13, 2013"
1557176662-14496,https://www.tripadvisor.com/Attraction_Review-g1393505-d2255519-Reviews-or860-The_Dark_Hedges-Ballymoney_County_Antrim_Northern_Ireland.html,"not being a got fan, i was not prepared for what i was about to see on a sunny day tour of county antrim area. you may be able to use your imagination to paint this on to a piece of canvas but to see...more","Leicester, United Kingdom",2016-03-01T00:00:00Z,what an experience...,5,153,69,breanorlad14,"Reviewed March 21, 2016"
1557176802-15044,https://www.tripadvisor.com/Attraction_Review-g1393505-d2255519-Reviews-or310-The_Dark_Hedges-Ballymoney_County_Antrim_Northern_Ireland.html,"the dark hedges is worth stopping by, if you find yourself in the area. i probably wouldn't go out of my way to visit, though. it does have an ancient, magical feeling to it, but even when we were there early in the morning, there...more","Cork, Ireland",2017-10-01T00:00:00Z,"magical feeling, if a bit overrun",4,113,45,Cnoche,"Reviewed December 20, 2017"
1557176608-14288,https://www.tripadvisor.com/Attraction_Review-g1393505-d2255519-Reviews-or1070-The_Dark_Hedges-Ballymoney_County_Antrim_Northern_Ireland.html,"we accidentally came across the dark hedges on our way back from the giants causeway.
they are a beautiful formation of trees,  very stunning. as to be expected, it was really busy in the area though,  but beautiful nonetheless.","Hitchin, United Kingdom",2015-05-01T00:00:00Z,accidentally visited but beautiful,5,184,88,J_Mary89,"Reviewed May 28, 2015"
1557176586-14203,https://www.tripadvisor.com/Attraction_Review-g1393505-d2255519-Reviews-or1150-The_Dark_Hedges-Ballymoney_County_Antrim_Northern_Ireland.html,"we found this road one day by sheer good luck ,it was when we were staying at a holliday house just out side the village of armoy ,the tree's are so unusual in there shape and the way the cross over the road. did  not...more","County Down, United Kingdom",2014-06-01T00:00:00Z,a road with difference,5,67,42,Joe B,"Reviewed October 29, 2014"
1557176640-14409,https://www.tripadvisor.com/Attraction_Review-g1393505-d2255519-Reviews-or950-The_Dark_Hedges-Ballymoney_County_Antrim_Northern_Ireland.html,we did not know until we got there that this scene has been used in game of thrones.  good views from either end of the road.  suggest walking along it to get a better view of the tree shapes.,null,2015-09-01T00:00:00Z,worth a visit,4,40,19,anne p,"Reviewed September 11, 2015"
1557176645-14422,https://www.tripadvisor.com/Attraction_Review-g1393505-d2255519-Reviews-or930-The_Dark_Hedges-Ballymoney_County_Antrim_Northern_Ireland.html,went to visit the dark hedges on a saturday afternoon with the family. we'd seen pictures of it in guides and magazines and read that it was one of the most photographed spots in northern ireland.  we followed the signs and pulled into the road....more,"East Rochester, New York",2015-10-01T00:00:00Z,not all that...,2,23,5,436marysued,"Reviewed October 14, 2015"
1557176794-15016,https://www.tripadvisor.com/Attraction_Review-g1393505-d2255519-Reviews-or340-The_Dark_Hedges-Ballymoney_County_Antrim_Northern_Ireland.html,"absolutely amazing!  well worth the visit, but i recommend going early in the morning if you want to get some great pictures.  otherwise you will have lots of tourists in the background.  i will definitely go back considering the fact that my family lives close...more","Philadelphia, Pennsylvania",2017-07-01T00:00:00Z,dark hedges,5,8,1,jciarlante,"Reviewed October 18, 2017"
