ï»¿web-scraper-order,web-scraper-start-url,reviewText,location,date,reviewTitle,rating,reviewsWritten,numberThanks,username,reviewedWhen
1557100306-1061,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or20-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,we were staying in accommodation right below this fort ( bottom rhs) so a visit was imminent. you really need to have a guided tour to get the most out of this building as it doesnâ€™t contain any artefacts and apart from that fact that...more,null,2018-06-01T00:00:00Z,another games of thrones site,5,16,3,Mrs Colleen M,"Reviewed June 25, 2018"
1557100288-989,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or90-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"especially where the game of a thrones was picturized.. it's a step climb of over 170 steps to reach the fort, but the view is mahican from there-on...","Dubai, United Arab Emirates",2017-08-01T00:00:00Z,interesting visit,4,664,89,Roomi S,"Reviewed September 8, 2017"
1557100270-921,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or160-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,this is an older fort outside of old town (it actually looks down on the town).  interesting old fort where several game of thrones scenes have been filmed.  beautiful views of old town and the adriatic.,"Rowley, Massachusetts",2015-09-01T00:00:00Z,"worth a visit, especially for game of thrones fans",4,81,112,LabsTimesTwo,"Reviewed October 11, 2015"
1557100288-983,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or90-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"old fortress well worth visiting to check out where they filmed the battle of the blackwater for game of thrones, as well as for some very nice views back into dubrovnik from the top level.","London, United Kingdom",2016-04-01T00:00:00Z,nice views looking back into dubrovnik,4,25,6,Allan_C_1980,"Reviewed February 14, 2017"
1557100282-969,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or110-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"...based on some of the walking tours that were going on when i was there, must have been a filming spot for game of thrones.  i don't care about that so it was a quick walk about.  it did offer some great views of old...more","Portland, Oregon",2016-09-01T00:00:00Z,great picture spot,4,15,6,trekker516,"Reviewed September 20, 2016"
1557100251-846,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or230-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"a tour of the fortress was included in the viator game of thrones tour, which was amazing, if you like game of thrones you have to go! the climb up to the fortress is worth the views at the top and the facts about where...more","South West England, United Kingdom",2014-08-01T00:00:00Z,great views,5,44,15,sophs428,"Reviewed September 4, 2014"
1557100267-908,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or170-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"where several game of thrones scenes were shot. 
beautiful views across the city, quieter than the rest of the city perfect for a breath of fresh air.","Leeds, United Kingdom",2015-10-01T00:00:00Z,stunning views,5,47,13,SymunT,"Reviewed October 14, 2015"
1557100251-844,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or230-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,...it is quite easy to find and does involve a bit of a climb to get to the top. game of thrones fans will get to see the set of joffrey's name day celebration as well as other locations here too. definitely worth visiting.more,"Stoke-on-Trent, United Kingdom",2014-07-01T00:00:00Z,great view of dubrovnik and included in the cost of the city walls.,5,145,117,Ben_25236247,"Reviewed January 16, 2015"
1557100264-901,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or180-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,beautiful. every time you look at it it reminds to the game of thrones. another great view point to admire dubrovnik.,"Torbe di Negrar, Italy",2015-08-01T00:00:00Z,beautiful,4,123,38,MicheleT465,"Reviewed September 2, 2015"
1557100264-902,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or180-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"...lovrijenac has an excellent view of the old town, and the fort seems to keep going up additional levels for more ways to view the city.  we were also told that the red wedding for game of thrones was filmed there.more",null,2015-08-01T00:00:00Z,excellent view of the old town,5,4,2,Eric H,"Reviewed August 26, 2015"
1557100259-874,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or200-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"...be aware there are many steps to the fort and then many more inside. remember if you have tickets from the wall walk these will get you in free to the fort, which was used as a set in the game of thrones.more","Guildford, United Kingdom",2015-06-01T00:00:00Z,excellent views but hard to find,4,286,100,753anthonyl,"Reviewed June 19, 2015"
1557100253-862,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or220-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,...there was a game of thrones tour happening nearby & they are advertised around the main entrance etc a lot so that could be an option also. great little swimming area just near this fort too (you can see it off to the right as...more,"Adelaide, Australia",2014-09-01T00:00:00Z,great place to visit,5,98,48,AGradisar,"Reviewed September 24, 2014"
1557100270-920,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or160-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"...in addition game of thrones fans will recognise the location.
it's a combined attraction with the city walls. so admission with walls ticket or 30kuna credit on walls ticket if you've paid entry here first. the 2 admissions do not have to be on the...more","Los Osos, California",2016-04-01T00:00:00Z,good in combination with the city walls,4,38,13,mageedge,"Reviewed April 28, 2016"
1557100261-885,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or190-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,if you are a fan of the game of thrones tv series visit here. very recognisable location. great view out onto the adriatic,null,2015-05-01T00:00:00Z,game of thrones set location,4,12,5,Steve W,"Reviewed June 4, 2015"
