ï»¿web-scraper-order,web-scraper-start-url,reviewText,location,date,reviewTitle,rating,reviewsWritten,numberThanks,username,reviewedWhen
1557099681-314,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or500-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"the fort is excellent. a very short walk from the main gate to the old town gets you to this historic fort. an easy climb up some steps gets you to the entrance, from where you enter this great place. the fort is interesting in...more","Edinburgh, United Kingdom",2016-04-01T00:00:00Z,fantastic dubrovnik bonus,5,7,7,Ian_Bonnyrigg,"Reviewed May 1, 2016"
1557099668-271,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or550-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"where several game of thrones scenes were shot. 
beautiful views across the city, quieter than the rest of the city perfect for a breath of fresh air.","Leeds, United Kingdom",2015-10-01T00:00:00Z,stunning views,5,47,13,SymunT,"Reviewed October 14, 2015"
1557099665-254,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or560-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"and there won't be much going on when you there, but the views from this perch are spectacular. entry is free is you pay 100 kuna to walk along the top of the old town wall. both of these attractions are well worth the money",Toronto Canada,2015-10-01T00:00:00Z,it's only 208 steps to the top,4,320,175,Jack-Dru,"Reviewed October 8, 2015"
1557099633-140,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or680-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,old fort is now a museum to the defenders of dubrovnik during the balkan crisis. well worth a visit delivering a poiniont reminder of the waste wars create.,"Helmsdale, United Kingdom",2014-10-01T00:00:00Z,dicovering croatia,5,54,44,Graeme M,"Reviewed October 31, 2014"
1557099602-20,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or800-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"we ventured out of old town dubrovnik via the pile gate to make our way to the fortress overlooking the city.  the tourist information map said it's a 200 meter walk, but it wasn't signposted, so we ended up walking too far in an attempt...more","London, United Kingdom",2012-07-01T00:00:00Z,"difficult to get to, but worth the effort for the views of old town",4,196,325,tangek,"Reviewed July 10, 2012"
1557099723-474,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or340-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,we walked the walls on the first day but due to the rain in the afternoon we could not do this.  the ticket is valid for one entrance so you can split the days that you do the walls and the fort even though both...more,"Birmingham, United Kingdom",2016-10-01T00:00:00Z,go first thing,5,310,174,Samantha S,"Reviewed October 31, 2016"
1557099726-485,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or330-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"lovrijenac fortress, or st. lawrence fortress, is just outside the city walls of dubrovnik. we visited after walking the walls. admission to the walls also covers the fortress on the same day, so try to visit both. the fortress has an interesting history. in the...more","Raleigh, North Carolina",2016-09-01T00:00:00Z,great views of old town and west harbor,5,579,975,jmpncsu,"Reviewed December 8, 2016"
1557099765-634,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or180-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"it's included in the old walls ticket and i definitely recommend popping over to see. 

if you want to come separately it cost 50 kuna.. i don't think it's worth it on its own but it does have a good view of the city.","Athens, Greece",2017-11-01T00:00:00Z,included in walls package,3,221,51,hazzamarri2442,"Reviewed November 2, 2017"
1557099628-113,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or700-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,fort lovrijenac is free of charge for those who paid for the city walls walk as long as you have the ticket to show as proof of purchase.  there were very few people when i was there at midday. the stairs to the fort are...more,"Abu Dhabi, United Arab Emirates",2014-10-01T00:00:00Z,amazing views of old town dubrovnik,5,80,57,AbuDhabiCanuk,"Reviewed October 4, 2014"
1557099799-763,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or50-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"this is another awesome place in dubrovnik! old, interesting and beautiful. some high steps to get up there so if you struggle with things like that maybe give it a miss as there's no other way up. once you're up there it's very nice, gorgeous...more","Hutton Rudby, United Kingdom",2018-09-01T00:00:00Z,pay for the wall pay for here,5,77,30,641lydiab,"Reviewed October 1, 2018"
1557099710-426,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or390-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"lovrijenac is a beautiful fort on a rock, it looks amazing and the view on top of it is breathtaking! it's definitely a must in dubrovnik, i loved it!","Zadar, Croatia",2016-08-01T00:00:00Z,breathtaking!,5,16,5,ribrib990,"Reviewed August 22, 2016"
1557099746-568,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or250-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,it is worth the climb (do it early in the morning) to see this place.  partially restored fort where theatrical productions are staged.  some cannons on the top but the views are the stars here.,Yankee in the South,2017-07-01T00:00:00Z,really nice views,5,303,146,divezuzu,"Reviewed July 23, 2017"
1557099673-284,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or530-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,included in the ancient city walls ticket but outside and separate to the old town but just as fortified as the rest. a short walk up and the views back to town & over the adriatic are well worth it.,"Sydney, Australia",2015-10-01T00:00:00Z,"love the smell of an old fort , no napalm !",4,2651,1030,Skeney57,"Reviewed January 23, 2016"
1557099700-384,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or430-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"if you plan to visit please wear comfortable shoes as there are lots of stairs.
i love that to reach the entrance you have to go through the kayak meeting point and the gardens.
when you're inside it's practically empty but you do get a...more","Bangkok, Thailand",2016-06-01T00:00:00Z,"amazing view, empty fort, was there because of got",4,46,20,catherinecomiz,"Reviewed July 10, 2016"
1557099804-787,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or30-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"signage was missing, so by the time we climbed up and found the entrance and ticket price we turned away and preferred to be outside.","Glasgow, United Kingdom",2018-09-01T00:00:00Z,difficult to find!,3,1412,629,f2s,"Reviewed October 15, 2018"
1557099700-386,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or430-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,despite looking the part we struggled to find the entrance and then up the little hill inside.  great setting but just empty inside.  good views of the outside of old town walls. got setting.,"Spofforth, United Kingdom",2016-05-01T00:00:00Z,empty fort,3,168,90,MarieC910,"Reviewed July 8, 2016"
1557099705-406,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or410-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"was built hundreds years ago, in order to defend the old city from the turkish invaders. a pearl of dubrovnik!",null,2016-07-01T00:00:00Z,a beautiful old castle !,5,97,21,RonS2918,"Reviewed July 26, 2016"
1557099662-251,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or570-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,looking down on king's landing and seeing the old town of dubrovnik is a double feature you get with this visit.   admission comes with the dubrovnik city walls tour and it is a short walk from the city,"Bethesda, Maryland",2015-08-01T00:00:00Z,up close and personal with game of thrones,4,286,162,Bethesdashrink,"Reviewed September 18, 2015"
1557099710-428,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or390-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,first of all this place is exactly for people who have watched game of thrones. i can't explain how much i got surprised when i saw that place.it was like a dream. you will experience a historical theme in harmony with natural scene. i recommend...more,"Shiraz, Iran",2016-07-01T00:00:00Z,travel back to yesteryears,5,10,1,shima_kaz,"Reviewed August 18, 2016"
1557099710-432,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or390-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"you ca use your city wall ticket to gain entry, once in however there is little information on the history of the fort. despite this it's still well worth it for the views alone!","Manchester, United Kingdom",2016-08-01T00:00:00Z,"fabulous views, would benefit from more information.",3,82,42,Harry_Bram,"Reviewed August 12, 2016"
1557099647-189,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or630-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,this fort is included in the price of the old city wall ticket so go have a little wander!  great place to see the city walls from a different perspective.  can get some great photos.  a little tricky getting there (even though it is only...more,"London, United Kingdom",2015-06-01T00:00:00Z,excellent viewpoint,5,140,116,corion34,"Reviewed June 24, 2015"
1557099739-539,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or280-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"just to the western side of the old town, you'll find the pathway and entrance to fort lovrijenc. if you purchase the ancient city walls ticket for 150 kuna, this is included in your ticket. 
built on a 37 metre high rock overlooking the sea,...more","Hamilton, New Zealand",2017-04-01T00:00:00Z,more great views,4,68,22,Monique S,"Reviewed May 21, 2017"
1557099780-698,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or120-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,lovely fort which offers spectacular views back towards the old town and city walls . nice cafes in a charming bay on the way up for refreshment,"Colchester, United Kingdom",2018-05-01T00:00:00Z,worth the walk up,4,43,13,jonnotgeoff,"Reviewed June 2, 2018"
1557099754-597,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or220-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"especially where the game of a thrones was picturized.. it's a step climb of over 170 steps to reach the fort, but the view is mahican from there-on...","Dubai, United Arab Emirates",2017-08-01T00:00:00Z,interesting visit,4,664,89,Roomi S,"Reviewed September 8, 2017"
1557099692-357,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or460-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"its a bit of a climb (but what isn't in dubrovnik) and its free if you have already done the ancients walls walk and keep your ticket.!!!
unbelieveable views of the city that you won't get anywhere else. great place to sit and take in...more","Toronto, Canada",2016-05-01T00:00:00Z,excellent views of dubrovnik and its walls.!!!,5,124,132,JamesDeanToronto,"Reviewed June 14, 2016"
1557099713-433,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or380-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,nit on the main wall walk but close to where we were staying not a hard climb up but great views back across tbe city. not a lot other than the views other than the history but a must visit.,"Ipswich, United Kingdom",2016-09-01T00:00:00Z,worth a visit,5,443,144,Gary C,"Reviewed September 8, 2016"
1557099752-587,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or230-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"the fort is cool to visit, but it's main highlight are the views it offers of old town.  it's included in the city wall ticket, so i'd recommend the visit.  however, i wouldn't say it's worth going out of your way if you're tight on...more","Portland, Oregon",2017-08-01T00:00:00Z,good views of old town!,4,57,23,christina_pdx,"Reviewed August 22, 2017"
1557099694-367,https://www.tripadvisor.com/Attraction_Review-g295371-d523463-Reviews-or450-Fort_Lovrijenac-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,ticket price is included in the walls so worth the hike up. the views of dubrovnik are good and give a different perspective to the old town,"London, United Kingdom",2016-06-01T00:00:00Z,excellent views over dubrovnik,5,23,6,Mim_Ting,"Reviewed June 23, 2016"
