ï»¿web-scraper-order,web-scraper-start-url,reviewText,location,date,reviewTitle,rating,reviewsWritten,numberThanks,username,reviewedWhen
1557154337-1115,https://www.tripadvisor.com/Attraction_Review-g1096230-d3962486-Reviews-or240-Grjotagja_Cave-Reykjahlid_Lake_Myvatn_Northeast_Region.html,"we pulled in to take a look at the cave thinking it would be a small side adventure on our trip around the lake. we were happily surprised. we climbed down into the cave, and took some of the most beautiful photos of our trip....more","Orange County, California",2015-09-01T00:00:00Z,by far my favorite on lake myvatn,5,181,97,Jordan C,"Reviewed September 9, 2015"
1557154403-1331,https://www.tripadvisor.com/Attraction_Review-g1096230-d3962486-Reviews-or20-Grjotagja_Cave-Reykjahlid_Lake_Myvatn_Northeast_Region.html,you can't swim in the cave so just stop for the photo and go to the volcano behind. it can be done in less than 10 minutes,null,2018-09-01T00:00:00Z,quick stop,5,109,58,Renan B,"Reviewed September 20, 2018"
1557154365-1202,https://www.tripadvisor.com/Attraction_Review-g1096230-d3962486-Reviews-or150-Grjotagja_Cave-Reykjahlid_Lake_Myvatn_Northeast_Region.html,"go out of season and early in the day. no queues at 10am ,later in the day there were. very atmospheric","County Durham, United Kingdom",2017-04-01T00:00:00Z,game of thrones love nest,5,33,16,Robert J,"Reviewed April 26, 2017"
1557154343-1134,https://www.tripadvisor.com/Attraction_Review-g1096230-d3962486-Reviews-or220-Grjotagja_Cave-Reykjahlid_Lake_Myvatn_Northeast_Region.html,this small lava cave with a thermal spring inside is pretty cool and enchanting.  when we visited steam covered the whole cavern and it made it pretty hard to see and go in. i scrambled down the cave while flashlights were being fetched by my...more,"San Juan Capistrano, California",2016-03-01T00:00:00Z,john snow and ygritte's cave (got) - enchanting,4,359,111,qhunnyb,"Reviewed July 19, 2016"
1557154383-1266,https://www.tripadvisor.com/Attraction_Review-g1096230-d3962486-Reviews-or90-Grjotagja_Cave-Reykjahlid_Lake_Myvatn_Northeast_Region.html,this was one of the few things in iceland i could have skipped.  it's crawling with tourists hooting and hollering about jon snow and ygrette.  you have to wait your turn and not all of the other tourists are so patient - we were pushed...more,"Pittsburgh, Pennsylvania",2017-09-01T00:00:00Z,not really worth the stop.,2,109,61,DH6040,"Reviewed October 22, 2017"
1557154362-1198,https://www.tripadvisor.com/Attraction_Review-g1096230-d3962486-Reviews-or160-Grjotagja_Cave-Reykjahlid_Lake_Myvatn_Northeast_Region.html,"i visited this near myvatn, iceland in january 2017.  there are two small entrances which are covered in ice and are very small.  one person at a time can enter and the entrance is very steep onto rocks to enter cave with extremely hot natural...more",New Jersey,2017-01-01T00:00:00Z,game of thrones cave,4,105,89,mommadoc2420,"Reviewed January 29, 2017"
1557154343-1138,https://www.tripadvisor.com/Attraction_Review-g1096230-d3962486-Reviews-or220-Grjotagja_Cave-Reykjahlid_Lake_Myvatn_Northeast_Region.html,"the grotto is quite beautiful and located within a fissure running along the hillside. this seemed to be one of the less-traveled sites in myvatn. there's a lot of bugs, but once you clamber down to the grotto, the blue water, which was once cool...more",Ottawa,2016-06-01T00:00:00Z,worth the short detour,4,235,269,NorthernWanderlust,"Reviewed July 3, 2016"
1557154362-1195,https://www.tripadvisor.com/Attraction_Review-g1096230-d3962486-Reviews-or160-Grjotagja_Cave-Reykjahlid_Lake_Myvatn_Northeast_Region.html,"here is the ""game of thrones"" cave (from the scene where jon snow and ygritte make love). but it isn't really the same cave (only the entrance). anyway, this is a small cave with a thermal pool inside where is forbidden to take a bath....more","Sao Paulo, SP",2016-09-01T00:00:00Z,just a small cave with a geothermal pool inside,3,43,45,Dakial,"Reviewed February 21, 2017"
1557154377-1249,https://www.tripadvisor.com/Attraction_Review-g1096230-d3962486-Reviews-or110-Grjotagja_Cave-Reykjahlid_Lake_Myvatn_Northeast_Region.html,a series of caves with hot pools. note the fissure where the island is splitting in 2 - one can cross continents here!,"York, United Kingdom",2017-07-01T00:00:00Z,interesting,4,29,8,christinep314,"Reviewed August 12, 2017"
1557154398-1314,https://www.tripadvisor.com/Attraction_Review-g1096230-d3962486-Reviews-or40-Grjotagja_Cave-Reykjahlid_Lake_Myvatn_Northeast_Region.html,cool cave with hutch bring inside. very easy to get to you can drive to it off of ring road. you donâ€™t need more than 20 minutes.,null,2018-07-01T00:00:00Z,cool cave.,5,35,8,evamariecus,"Reviewed July 12, 2018"
