ï»¿web-scraper-order,web-scraper-start-url,reviewText,location,date,reviewTitle,rating,reviewsWritten,numberThanks,username,reviewedWhen
1557174789-13402,https://www.tripadvisor.com/Attraction_Review-g295371-d550317-Reviews-or660-Old_Town-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,you can vividly recall a lot of scenes as you walk along the old town. the town like any other old town in europe has an inherent charm - but the got aficionado in me over shadowed here. surely worth a walk around.,"Bengaluru, India",2016-04-01T00:00:00Z,game of thrones - relived,5,16,4,Hari G,"Reviewed May 1, 2016"
1557174840-13589,https://www.tripadvisor.com/Attraction_Review-g295371-d550317-Reviews-or480-Old_Town-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"i really can not belive that this is such a splendid city, i watch game of thrones an it feels like i am in the show, the moment i step in the town!",null,2017-07-01T00:00:00Z,beautiful,5,6,4,Tomislav V,"Reviewed July 21, 2017"
1557174896-13784,https://www.tripadvisor.com/Attraction_Review-g295371-d550317-Reviews-or280-Old_Town-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,...out of the market due to the massive increase in costs over 5 years brought about by being the shooting scene for game of thrones - a simple beer has trebled in cost in that time but for a short visit of less than a...more,"Falkirk, United Kingdom",2017-08-01T00:00:00Z,simply beautiful,5,42,15,Steppe80,"Reviewed September 1, 2017"
1557174768-13339,https://www.tripadvisor.com/Attraction_Review-g295371-d550317-Reviews-or730-Old_Town-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"...the old town abounds with the cheapest of tourist tat aimed at the ""game of thrones"" fans, overpriced candy and awful trinkets that are mainly made in china. (amused to see chinese tourists pawing over cheap momentos of dubrovnik which had made in china printed...more","Edinburgh, United Kingdom",2015-10-01T00:00:00Z,chinese mad tat and pizzerias!,3,117,67,Lymphada,"Reviewed November 2, 2015"
1557174814-13491,https://www.tripadvisor.com/Attraction_Review-g295371-d550317-Reviews-or580-Old_Town-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"i've never seen games of thrones, but i managed to enjoy it anyway (lol)...a really unique experience.","Savannah, Georgia",2016-06-01T00:00:00Z,great place for photos :),4,61,18,chefambermarie,"Reviewed August 5, 2016"
1557174868-13686,https://www.tripadvisor.com/Attraction_Review-g295371-d550317-Reviews-or380-Old_Town-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"it' just so beautiful! the little streets, the fountains and fans from game of thrones will also be happy, 'cause old town is kings landing in the series.","Ghent, Belgium",2017-06-01T00:00:00Z,such a lovely town.,5,30,11,FreijaW,"Reviewed June 8, 2017"
1557174720-13168,https://www.tripadvisor.com/Attraction_Review-g295371-d550317-Reviews-or900-Old_Town-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"...the series ""game of thrones"" was partly filmed here. we spend a very hot late afternoon and evening in dubrovnik. we started with a walk through the streets to get an overview, munching on ice cream, walked outside of the city walls. it's a very...more","Vienna, Austria",2013-07-01T00:00:00Z,busy but beautiful,4,50,29,Lilopilo123,"Reviewed July 24, 2013"
1557174840-13582,https://www.tripadvisor.com/Attraction_Review-g295371-d550317-Reviews-or480-Old_Town-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"an incredible place for any game of thrones fan!

it is super hot right now. there wasn't a lot of ac for my baby but some restaurants have fans. 

i saw some people bring strollers but we were also happy to have her in a...more","Toronto, Canada",2017-08-01T00:00:00Z,stunning and semi baby friendly!,5,67,61,KJ300052,"Reviewed August 11, 2017"
1557174882-13739,https://www.tripadvisor.com/Attraction_Review-g295371-d550317-Reviews-or330-Old_Town-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,...of course movie buffs will recognize filming spots from the likes of robin hood and game of thrones.  this is obviously a pedestrian zone only and at night the old town takes on a different charm altogethermore,"Durban, South Africa",2017-07-01T00:00:00Z,pretty mpressive,5,551,105,Kolletjie,"Reviewed July 16, 2017"
1557174880-13731,https://www.tripadvisor.com/Attraction_Review-g295371-d550317-Reviews-or340-Old_Town-Dubrovnik_Dubrovnik_Neretva_County_Dalmatia.html,"...there are a multitude of restaurants, shops, sites (such as where the game of thrones took place), a large fountain.
it is worthwhile to go on one of the walking tours so that you get a complete explanation of what is there.
there are churches...more","Miami Beach, Florida",2017-04-01T00:00:00Z,historic and beautiful city,5,49,8,LBW52,"Reviewed July 11, 2017"
