ï»¿web-scraper-order,web-scraper-start-url,reviewText,location,date,reviewTitle,rating,reviewsWritten,numberThanks,username,reviewedWhen
1556980553-9094,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or680-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,"...i could have stayed for hours. our visit was something something i'll never forget! i intend to watch the first episodes of this season's ""game of thrones,"" as they include scenes shot at this beautiful place.more","Sewickley, PA",2015-05-01T00:00:00Z,one of the most beautiful places i've ever seen,5,100,70,lawmom611,"Reviewed May 10, 2015"
1556980546-9080,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or700-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,"...if you're a fan of the series - game of thrones, you'd be pleasantly surprised to know that this site was the location for the latest season in 2015.

on a side note, the people maintaining this site should clean up the ponds that still...more",Gibraltar,2015-03-01T00:00:00Z,splendid place that will take you back a couple of centuries.,4,54,42,NashP470,"Reviewed March 19, 2015"
1556980703-9610,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or170-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,"came here for ""game of thrones"" filming sceneries.  was not disappointed.  

first, accept how crowded the place is with visitors; second, take in the moorish architectural beauty; third, wander off to the gardens for a more quiet spot to enjoy your picnic/snacks.  there is a...more",null,2017-10-01T00:00:00Z,beautiful and inspiring,4,21,8,Quyen L,"Reviewed October 11, 2017"
1556980615-9304,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or470-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,...there us obviously the game of thrones connection now but on top of that some lovely gardens. fantastic for photographs. beautiful old world mix of genuine andalucia and other shades of culture. you could spend hours here.more,"Dos Hermanas, Spain",2016-06-01T00:00:00Z,must see,5,77,28,morningstar59,"Reviewed June 11, 2016"
1556980635-9379,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or400-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,"...the gardens are worth a stroll around too . quite formal hedging with block planting and  lots of roses . you must prebook as due to it being a set for the game if thrones, it has become very popular .more","York, United Kingdom",2017-05-01T00:00:00Z,second visit,5,27,14,lindawN4634VL,"Reviewed May 1, 2017"
1556980565-9138,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or640-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,"my sons and my husband especially loved the alcazar and they took lots of pictures.  apparently ""game of thrones"" is filmed here.","Medway, Massachusetts",2015-06-01T00:00:00Z,well worth the visit,5,67,22,travelbugs222,"Reviewed July 9, 2015"
1556980730-9700,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or80-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,...check out th ceilings too as well as the wall tiles- some stunning architecture her.  you may think it looks familiar and that is because part of the fifth season of game of thrones was shot in  the alcã¡zar for 'dorne' (house martell).more,"Portsmouth, United Kingdom",2018-06-01T00:00:00Z,"georgous place, serene with beautiful gardens",5,34,24,ashleigh882016,"Reviewed July 23, 2018"
1556980593-9225,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or550-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,...! the garden is fabulous as well. for game of thrones fans this is the site of the dorne's royal palace! my husband and i had a lot of fun finding different shots from the show.more,"Mansfield, Texas",2016-06-01T00:00:00Z,a must visit for got fans!,5,22,2,LindaD840,"Reviewed June 17, 2016"
1556980680-9521,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or250-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,"it's the water gardens of dorne! beautiful palace. so rich in culture from the moors and the spanish. the rooms are breathtaking, and the staff was very helpful","Lorton, Virginia",2018-02-01T00:00:00Z,must for game of thrones fans,5,130,39,gbruiz1,"Reviewed February 8, 2018"
1556980624-9340,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or440-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,...i later realized they film game of thrones here (the kingdom of dorne residence is based here) so it makes it even more interesting i guess.more,"Alba Iulia, Romania",2016-03-01T00:00:00Z,beautiful palace and gardens,5,9,6,Cristina S,"Reviewed July 17, 2016"
1556980688-9559,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or220-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,the good: there are mostly two reasons why you have to visit the real alcazar: youâ€™re either a huge game of thrones fan or you simply like to admire historical buildings. in both cases itâ€™s worth visiting this palace and its gardens. we opted to...more,Madrid,2018-10-01T00:00:00Z,simply stunning!,5,82,59,David S,"Reviewed October 19, 2018"
1556980607-9279,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or500-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,being a game of thrones fan i need to see this place and i was not disappointed. the grand splendiour of this place is unmatched anywhere i have see todate.,"Niagara Falls, New York",2016-01-01T00:00:00Z,regal!,5,157,29,dxr777,"Reviewed October 16, 2016"
1556980668-9487,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or290-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,"...if you are s game of thrones fan, watch some you tube footage again before the visit. the only small item i did not like was that i only found one toilet block with four ladies toilets. not enough for a huge place with hundreds...more","Glasgow, United Kingdom",2018-03-01T00:00:00Z,gorgeous building and amazing gardens,5,78,36,AnniSmith2014,"Reviewed March 19, 2018"
1556980613-9294,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or480-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,"...to the beautiful water gardens, which to our surprise were the setting for the king of dorne scenes in season 5 of game of thrones. the sitting rooms, meeting rooms, ante rooms, hallways and bedroom areas were much as they appeared over five centuries ago....more","Oxford, Mississippi",2016-05-01T00:00:00Z,a surprising discovery at real alcazar in seville,5,70,46,Vralitigator,"Reviewed May 28, 2016"
1556980593-9221,https://www.tripadvisor.com/Attraction_Review-g187443-d191139-Reviews-or550-Real_Alcazar-Seville_Province_of_Seville_Andalucia.html,...we were equally excited as 'game of thrones' was shot here. it served as location for water gardens of dorne in got. great place to click many pics at both the castle and the gardens. the maze garden inside the alcazar is quite fun. it...more,"Paris, France",2015-12-01T00:00:00Z,beautiful place and one of the highlights in seville,5,39,11,Karthik B,"Reviewed December 30, 2015"
